id	c	s	pval
1	2	1	0.000000
2	2	1	0.000000
3	2	1	0.000000
4	2	1	0.000000
5	1	0	0.060223
6	2	1	0.000000
7	2	1	0.000000
8	2	1	0.000000
9	1	0	0.060223
10	2	1	0.000000
11	2	1	0.000000
12	2	1	0.000000
13	2	1	0.000000
14	2	1	0.000000
15	1	0	0.060223
16	1	0	0.060223
17	1	0	0.060223
18	2	1	0.000000
19	1	0	0.060223
20	2	1	0.000000
21	1	0	0.060223
22	2	1	0.000000
23	1	0	0.060223
24	1	0	0.060223
25	1	0	0.060223
26	1	0	0.060223
27	1	0	0.060223
28	1	0	0.060223
29	1	0	0.060223
30	1	0	0.060223
31	1	0	0.060223
32	1	0	0.060223
33	1	0	0.060223
34	1	0	0.060223
